#    L    TT             TE             EE             BB             PP
   608    0.21596E+04    0.27250E+02    0.22231E+02    0.81989E-01    0.15191E-07
   609    0.21507E+04    0.26819E+02    0.22534E+02    0.82069E-01    0.15153E-07
   610    0.21418E+04    0.26356E+02    0.22836E+02    0.82147E-01    0.15116E-07
   611    0.21330E+04    0.25860E+02    0.23138E+02    0.82224E-01    0.15079E-07
   612    0.21242E+04    0.25334E+02    0.23442E+02    0.82300E-01    0.15042E-07
   613    0.21153E+04    0.24774E+02    0.23742E+02    0.82375E-01    0.15006E-07
   614    0.21066E+04    0.24183E+02    0.24044E+02    0.82448E-01    0.14969E-07
   615    0.20979E+04    0.23560E+02    0.24344E+02    0.82520E-01    0.14932E-07
   616    0.20892E+04    0.22906E+02    0.24645E+02    0.82592E-01    0.14896E-07
   617    0.20808E+04    0.22221E+02    0.24945E+02    0.82662E-01    0.14860E-07
   618    0.20723E+04    0.21505E+02    0.25244E+02    0.82731E-01    0.14824E-07
   619    0.20638E+04    0.20759E+02    0.25543E+02    0.82800E-01    0.14788E-07
   620    0.20555E+04    0.19983E+02    0.25840E+02    0.82867E-01    0.14752E-07
   621    0.20472E+04    0.19176E+02    0.26136E+02    0.82933E-01    0.14717E-07
   622    0.20390E+04    0.18339E+02    0.26430E+02    0.82999E-01    0.14681E-07
   623    0.20309E+04    0.17474E+02    0.26723E+02    0.83064E-01    0.14646E-07
   624    0.20229E+04    0.16580E+02    0.27013E+02    0.83127E-01    0.14611E-07
   625    0.20149E+04    0.15656E+02    0.27303E+02    0.83190E-01    0.14575E-07
   626    0.20071E+04    0.14704E+02    0.27591E+02    0.83253E-01    0.14540E-07
   627    0.19994E+04    0.13723E+02    0.27876E+02    0.83314E-01    0.14506E-07
   628    0.19918E+04    0.12715E+02    0.28159E+02    0.83375E-01    0.14471E-07
   629    0.19843E+04    0.11680E+02    0.28440E+02    0.83435E-01    0.14436E-07
   630    0.19769E+04    0.10616E+02    0.28719E+02    0.83494E-01    0.14402E-07
   631    0.19696E+04    0.95279E+01    0.28995E+02    0.83553E-01    0.14368E-07
   632    0.19625E+04    0.84121E+01    0.29269E+02    0.83611E-01    0.14334E-07
   633    0.19554E+04    0.72712E+01    0.29541E+02    0.83668E-01    0.14300E-07
   634    0.19485E+04    0.61053E+01    0.29809E+02    0.83725E-01    0.14266E-07
   635    0.19417E+04    0.49147E+01    0.30075E+02    0.83782E-01    0.14232E-07
   636    0.19350E+04    0.37000E+01    0.30338E+02    0.83838E-01    0.14198E-07
   637    0.19285E+04    0.24608E+01    0.30597E+02    0.83893E-01    0.14165E-07
   638    0.19221E+04    0.11990E+01    0.30854E+02    0.83948E-01    0.14131E-07
   639    0.19159E+04   -0.86219E-01    0.31107E+02    0.84003E-01    0.14098E-07
   640    0.19098E+04   -0.13933E+01    0.31357E+02    0.84057E-01    0.14065E-07
   641    0.19039E+04   -0.27223E+01    0.31604E+02    0.84111E-01    0.14032E-07
   642    0.18980E+04   -0.40725E+01    0.31847E+02    0.84165E-01    0.13999E-07
   643    0.18924E+04   -0.54433E+01    0.32087E+02    0.84219E-01    0.13966E-07
   644    0.18870E+04   -0.68341E+01    0.32321E+02    0.84272E-01    0.13933E-07
   645    0.18816E+04   -0.82447E+01    0.32552E+02    0.84325E-01    0.13901E-07
   646    0.18764E+04   -0.96743E+01    0.32780E+02    0.84378E-01    0.13869E-07
   647    0.18715E+04   -0.11123E+02    0.33003E+02    0.84430E-01    0.13836E-07
   648    0.18666E+04   -0.12589E+02    0.33223E+02    0.84483E-01    0.13804E-07
   649    0.18619E+04   -0.14072E+02    0.33437E+02    0.84535E-01    0.13772E-07
   650    0.18574E+04   -0.15572E+02    0.33647E+02    0.84587E-01    0.13740E-07
   651    0.18531E+04   -0.17088E+02    0.33854E+02    0.84640E-01    0.13708E-07
   652    0.18489E+04   -0.18619E+02    0.34056E+02    0.84692E-01    0.13677E-07
   653    0.18450E+04   -0.20165E+02    0.34252E+02    0.84744E-01    0.13645E-07
   654    0.18412E+04   -0.21724E+02    0.34444E+02    0.84796E-01    0.13614E-07
   655    0.18375E+04   -0.23297E+02    0.34632E+02    0.84849E-01    0.13582E-07
   656    0.18341E+04   -0.24883E+02    0.34815E+02    0.84901E-01    0.13551E-07
   657    0.18309E+04   -0.26480E+02    0.34993E+02    0.84954E-01    0.13520E-07
   658    0.18277E+04   -0.28089E+02    0.35166E+02    0.85006E-01    0.13489E-07
   659    0.18249E+04   -0.29709E+02    0.35335E+02    0.85059E-01    0.13458E-07
   660    0.18222E+04   -0.31338E+02    0.35497E+02    0.85112E-01    0.13427E-07
   661    0.18197E+04   -0.32975E+02    0.35655E+02    0.85166E-01    0.13397E-07
   662    0.18173E+04   -0.34622E+02    0.35808E+02    0.85219E-01    0.13366E-07
   663    0.18152E+04   -0.36277E+02    0.35956E+02    0.85273E-01    0.13336E-07
   664    0.18132E+04   -0.37938E+02    0.36097E+02    0.85327E-01    0.13305E-07
   665    0.18114E+04   -0.39606E+02    0.36233E+02    0.85382E-01    0.13275E-07
   666    0.18098E+04   -0.41280E+02    0.36364E+02    0.85436E-01    0.13245E-07
   667    0.18084E+04   -0.42958E+02    0.36490E+02    0.85492E-01    0.13215E-07
   668    0.18071E+04   -0.44642E+02    0.36610E+02    0.85547E-01    0.13185E-07
   669    0.18062E+04   -0.46328E+02    0.36725E+02    0.85603E-01    0.13155E-07
   670    0.18053E+04   -0.48016E+02    0.36834E+02    0.85660E-01    0.13126E-07
   671    0.18047E+04   -0.49707E+02    0.36938E+02    0.85717E-01    0.13096E-07
   672    0.18042E+04   -0.51400E+02    0.37035E+02    0.85774E-01    0.13067E-07
   673    0.18040E+04   -0.53092E+02    0.37128E+02    0.85832E-01    0.13037E-07
   674    0.18039E+04   -0.54785E+02    0.37215E+02    0.85891E-01    0.13008E-07
   675    0.18041E+04   -0.56477E+02    0.37295E+02    0.85950E-01    0.12979E-07
   676    0.18043E+04   -0.58166E+02    0.37370E+02    0.86009E-01    0.12950E-07
   677    0.18048E+04   -0.59853E+02    0.37439E+02    0.86070E-01    0.12921E-07
   678    0.18055E+04   -0.61538E+02    0.37502E+02    0.86131E-01    0.12892E-07
   679    0.18064E+04   -0.63219E+02    0.37559E+02    0.86193E-01    0.12863E-07
   680    0.18075E+04   -0.64895E+02    0.37611E+02    0.86255E-01    0.12835E-07
   681    0.18088E+04   -0.66565E+02    0.37657E+02    0.86318E-01    0.12806E-07
   682    0.18102E+04   -0.68230E+02    0.37695E+02    0.86382E-01    0.12778E-07
   683    0.18120E+04   -0.69890E+02    0.37730E+02    0.86447E-01    0.12750E-07
   684    0.18137E+04   -0.71542E+02    0.37757E+02    0.86512E-01    0.12721E-07
   685    0.18157E+04   -0.73186E+02    0.37778E+02    0.86578E-01    0.12693E-07
   686    0.18178E+04   -0.74814E+02    0.37793E+02    0.86645E-01    0.12665E-07
   687    0.18202E+04   -0.76436E+02    0.37803E+02    0.86713E-01    0.12637E-07
   688    0.18227E+04   -0.78051E+02    0.37806E+02    0.86782E-01    0.12610E-07
   689    0.18255E+04   -0.79650E+02    0.37804E+02    0.86852E-01    0.12582E-07
   690    0.18283E+04   -0.81242E+02    0.37796E+02    0.86922E-01    0.12554E-07
   691    0.18314E+04   -0.82819E+02    0.37780E+02    0.86994E-01    0.12527E-07
   692    0.18346E+04   -0.84381E+02    0.37760E+02    0.87066E-01    0.12499E-07
   693    0.18380E+04   -0.85935E+02    0.37734E+02    0.87139E-01    0.12472E-07
   694    0.18415E+04   -0.87467E+02    0.37701E+02    0.87214E-01    0.12445E-07
   695    0.18453E+04   -0.88984E+02    0.37664E+02    0.87289E-01    0.12418E-07
   696    0.18493E+04   -0.90501E+02    0.37620E+02    0.87366E-01    0.12391E-07
   697    0.18533E+04   -0.91988E+02    0.37569E+02    0.87443E-01    0.12364E-07
   698    0.18576E+04   -0.93460E+02    0.37513E+02    0.87521E-01    0.12337E-07
   699    0.18619E+04   -0.94911E+02    0.37452E+02    0.87601E-01    0.12310E-07
   700    0.18665E+04   -0.96346E+02    0.37384E+02    0.87681E-01    0.12283E-07
   701    0.18712E+04   -0.97766E+02    0.37310E+02    0.87763E-01    0.12257E-07
   702    0.18761E+04   -0.99157E+02    0.37232E+02    0.87845E-01    0.12230E-07
   703    0.18811E+04   -0.10055E+03    0.37147E+02    0.87929E-01    0.12204E-07
   704    0.18862E+04   -0.10190E+03    0.37057E+02    0.88014E-01    0.12178E-07
   705    0.18914E+04   -0.10323E+03    0.36960E+02    0.88100E-01    0.12152E-07
   706    0.18968E+04   -0.10455E+03    0.36859E+02    0.88187E-01    0.12125E-07
   707    0.19023E+04   -0.10585E+03    0.36752E+02    0.88275E-01    0.12099E-07
   708    0.19081E+04   -0.10711E+03    0.36640E+02    0.88364E-01    0.12073E-07
   709    0.19139E+04   -0.10836E+03    0.36522E+02    0.88455E-01    0.12048E-07
   710    0.19199E+04   -0.10958E+03    0.36399E+02    0.88546E-01    0.12022E-07
   711    0.19260E+04   -0.11077E+03    0.36270E+02    0.88639E-01    0.11996E-07
   712    0.19322E+04   -0.11195E+03    0.36137E+02    0.88732E-01    0.11971E-07
   713    0.19386E+04   -0.11309E+03    0.35998E+02    0.88827E-01    0.11945E-07
   714    0.19449E+04   -0.11421E+03    0.35855E+02    0.88923E-01    0.11920E-07
   715    0.19515E+04   -0.11531E+03    0.35706E+02    0.89020E-01    0.11894E-07
   716    0.19582E+04   -0.11638E+03    0.35552E+02    0.89118E-01    0.11869E-07
   717    0.19650E+04   -0.11742E+03    0.35394E+02    0.89218E-01    0.11844E-07
   718    0.19718E+04   -0.11843E+03    0.35231E+02    0.89318E-01    0.11819E-07
   719    0.19788E+04   -0.11941E+03    0.35062E+02    0.89420E-01    0.11794E-07
   720    0.19858E+04   -0.12037E+03    0.34889E+02    0.89522E-01    0.11769E-07
   721    0.19930E+04   -0.12129E+03    0.34713E+02    0.89626E-01    0.11744E-07
   722    0.20002E+04   -0.12217E+03    0.34531E+02    0.89731E-01    0.11719E-07
   723    0.20075E+04   -0.12304E+03    0.34346E+02    0.89837E-01    0.11695E-07
   724    0.20149E+04   -0.12388E+03    0.34155E+02    0.89944E-01    0.11670E-07
   725    0.20224E+04   -0.12468E+03    0.33961E+02    0.90052E-01    0.11646E-07
   726    0.20300E+04   -0.12544E+03    0.33765E+02    0.90161E-01    0.11621E-07
   727    0.20376E+04   -0.12619E+03    0.33562E+02    0.90271E-01    0.11597E-07
   728    0.20453E+04   -0.12690E+03    0.33355E+02    0.90382E-01    0.11573E-07
   729    0.20530E+04   -0.12757E+03    0.33145E+02    0.90494E-01    0.11549E-07
   730    0.20608E+04   -0.12822E+03    0.32932E+02    0.90607E-01    0.11525E-07
   731    0.20687E+04   -0.12882E+03    0.32713E+02    0.90721E-01    0.11501E-07
   732    0.20766E+04   -0.12939E+03    0.32494E+02    0.90837E-01    0.11477E-07
   733    0.20846E+04   -0.12994E+03    0.32269E+02    0.90953E-01    0.11453E-07
   734    0.20926E+04   -0.13044E+03    0.32042E+02    0.91070E-01    0.11429E-07
   735    0.21007E+04   -0.13093E+03    0.31810E+02    0.91188E-01    0.11405E-07
   736    0.21087E+04   -0.13136E+03    0.31576E+02    0.91307E-01    0.11382E-07
   737    0.21169E+04   -0.13177E+03    0.31339E+02    0.91427E-01    0.11358E-07
   738    0.21249E+04   -0.13214E+03    0.31100E+02    0.91548E-01    0.11335E-07
   739    0.21331E+04   -0.13247E+03    0.30858E+02    0.91669E-01    0.11311E-07
   740    0.21412E+04   -0.13277E+03    0.30612E+02    0.91792E-01    0.11288E-07
   741    0.21494E+04   -0.13304E+03    0.30363E+02    0.91915E-01    0.11265E-07
   742    0.21576E+04   -0.13327E+03    0.30115E+02    0.92040E-01    0.11242E-07
   743    0.21658E+04   -0.13347E+03    0.29864E+02    0.92165E-01    0.11219E-07
   744    0.21741E+04   -0.13362E+03    0.29609E+02    0.92291E-01    0.11196E-07
   745    0.21823E+04   -0.13376E+03    0.29353E+02    0.92417E-01    0.11173E-07
   746    0.21904E+04   -0.13383E+03    0.29096E+02    0.92545E-01    0.11150E-07
   747    0.21985E+04   -0.13389E+03    0.28835E+02    0.92673E-01    0.11127E-07
   748    0.22067E+04   -0.13390E+03    0.28574E+02    0.92802E-01    0.11104E-07
   749    0.22149E+04   -0.13389E+03    0.28310E+02    0.92932E-01    0.11082E-07
   750    0.22230E+04   -0.13384E+03    0.28045E+02    0.93062E-01    0.11059E-07
   751    0.22311E+04   -0.13375E+03    0.27779E+02    0.93193E-01    0.11037E-07
   752    0.22392E+04   -0.13362E+03    0.27512E+02    0.93325E-01    0.11014E-07
   753    0.22472E+04   -0.13346E+03    0.27243E+02    0.93457E-01    0.10992E-07
   754    0.22552E+04   -0.13326E+03    0.26974E+02    0.93590E-01    0.10970E-07
   755    0.22632E+04   -0.13303E+03    0.26704E+02    0.93724E-01    0.10948E-07
   756    0.22710E+04   -0.13276E+03    0.26433E+02    0.93858E-01    0.10925E-07
   757    0.22790E+04   -0.13245E+03    0.26162E+02    0.93992E-01    0.10903E-07
   758    0.22867E+04   -0.13211E+03    0.25890E+02    0.94128E-01    0.10881E-07
   759    0.22945E+04   -0.13173E+03    0.25617E+02    0.94263E-01    0.10859E-07
   760    0.23022E+04   -0.13132E+03    0.25344E+02    0.94399E-01    0.10838E-07
   761    0.23097E+04   -0.13088E+03    0.25071E+02    0.94536E-01    0.10816E-07
   762    0.23174E+04   -0.13040E+03    0.24799E+02    0.94673E-01    0.10794E-07
   763    0.23248E+04   -0.12988E+03    0.24527E+02    0.94810E-01    0.10772E-07
   764    0.23322E+04   -0.12934E+03    0.24255E+02    0.94948E-01    0.10751E-07
   765    0.23395E+04   -0.12875E+03    0.23982E+02    0.95086E-01    0.10729E-07
   766    0.23468E+04   -0.12814E+03    0.23712E+02    0.95225E-01    0.10708E-07
   767    0.23539E+04   -0.12749E+03    0.23442E+02    0.95363E-01    0.10687E-07
   768    0.23610E+04   -0.12680E+03    0.23172E+02    0.95502E-01    0.10665E-07
   769    0.23680E+04   -0.12608E+03    0.22902E+02    0.95642E-01    0.10644E-07
   770    0.23748E+04   -0.12533E+03    0.22634E+02    0.95781E-01    0.10623E-07
   771    0.23816E+04   -0.12455E+03    0.22368E+02    0.95921E-01    0.10602E-07
   772    0.23882E+04   -0.12372E+03    0.22102E+02    0.96061E-01    0.10581E-07
   773    0.23947E+04   -0.12288E+03    0.21839E+02    0.96201E-01    0.10560E-07
   774    0.24011E+04   -0.12200E+03    0.21576E+02    0.96341E-01    0.10539E-07
   775    0.24075E+04   -0.12109E+03    0.21316E+02    0.96481E-01    0.10518E-07
   776    0.24136E+04   -0.12015E+03    0.21057E+02    0.96621E-01    0.10497E-07
   777    0.24196E+04   -0.11918E+03    0.20800E+02    0.96761E-01    0.10476E-07
   778    0.24258E+04   -0.11817E+03    0.20545E+02    0.96901E-01    0.10456E-07
   779    0.24315E+04   -0.11713E+03    0.20293E+02    0.97041E-01    0.10435E-07
   780    0.24372E+04   -0.11607E+03    0.20041E+02    0.97181E-01    0.10415E-07
   781    0.24428E+04   -0.11498E+03    0.19793E+02    0.97321E-01    0.10394E-07
   782    0.24481E+04   -0.11387E+03    0.19547E+02    0.97461E-01    0.10374E-07
   783    0.24535E+04   -0.11272E+03    0.19304E+02    0.97600E-01    0.10353E-07
   784    0.24586E+04   -0.11155E+03    0.19064E+02    0.97740E-01    0.10333E-07
   785    0.24636E+04   -0.11035E+03    0.18826E+02    0.97879E-01    0.10313E-07
   786    0.24684E+04   -0.10910E+03    0.18591E+02    0.98017E-01    0.10293E-07
   787    0.24731E+04   -0.10784E+03    0.18360E+02    0.98156E-01    0.10273E-07
   788    0.24776E+04   -0.10655E+03    0.18131E+02    0.98294E-01    0.10253E-07
   789    0.24820E+04   -0.10525E+03    0.17904E+02    0.98432E-01    0.10233E-07
   790    0.24863E+04   -0.10391E+03    0.17682E+02    0.98569E-01    0.10213E-07
   791    0.24903E+04   -0.10254E+03    0.17463E+02    0.98706E-01    0.10193E-07
   792    0.24943E+04   -0.10116E+03    0.17249E+02    0.98842E-01    0.10173E-07
   793    0.24980E+04   -0.99743E+02    0.17038E+02    0.98978E-01    0.10153E-07
   794    0.25015E+04   -0.98313E+02    0.16831E+02    0.99113E-01    0.10134E-07
   795    0.25049E+04   -0.96855E+02    0.16627E+02    0.99248E-01    0.10114E-07
   796    0.25082E+04   -0.95384E+02    0.16429E+02    0.99382E-01    0.10094E-07
   797    0.25112E+04   -0.93884E+02    0.16233E+02    0.99516E-01    0.10075E-07
   798    0.25141E+04   -0.92370E+02    0.16042E+02    0.99649E-01    0.10056E-07
   799    0.25168E+04   -0.90836E+02    0.15855E+02    0.99781E-01    0.10036E-07
   800    0.25193E+04   -0.89281E+02    0.15672E+02    0.99912E-01    0.10017E-07
   801    0.25217E+04   -0.87712E+02    0.15494E+02    0.10004E+00    0.99975E-08
   802    0.25238E+04   -0.86107E+02    0.15320E+02    0.10017E+00    0.99783E-08
   803    0.25258E+04   -0.84504E+02    0.15150E+02    0.10030E+00    0.99591E-08
   804    0.25276E+04   -0.82872E+02    0.14985E+02    0.10043E+00    0.99400E-08
   805    0.25293E+04   -0.81226E+02    0.14825E+02    0.10056E+00    0.99209E-08
   806    0.25307E+04   -0.79567E+02    0.14669E+02    0.10068E+00    0.99019E-08
   807    0.25320E+04   -0.77895E+02    0.14519E+02    0.10081E+00    0.98830E-08
   808    0.25329E+04   -0.76201E+02    0.14373E+02    0.10093E+00    0.98641E-08
   809    0.25339E+04   -0.74501E+02    0.14233E+02    0.10106E+00    0.98453E-08
   810    0.25345E+04   -0.72779E+02    0.14098E+02    0.10118E+00    0.98265E-08
   811    0.25349E+04   -0.71045E+02    0.13967E+02    0.10130E+00    0.98078E-08
   812    0.25352E+04   -0.69302E+02    0.13843E+02    0.10142E+00    0.97891E-08
   813    0.25353E+04   -0.67550E+02    0.13723E+02    0.10154E+00    0.97705E-08
   814    0.25353E+04   -0.65786E+02    0.13609E+02    0.10166E+00    0.97519E-08
   815    0.25350E+04   -0.64013E+02    0.13500E+02    0.10177E+00    0.97334E-08
   816    0.25344E+04   -0.62231E+02    0.13396E+02    0.10189E+00    0.97149E-08
   817    0.25337E+04   -0.60439E+02    0.13298E+02    0.10200E+00    0.96965E-08
   818    0.25329E+04   -0.58640E+02    0.13206E+02    0.10212E+00    0.96782E-08
   819    0.25318E+04   -0.56833E+02    0.13119E+02    0.10223E+00    0.96599E-08
   820    0.25306E+04   -0.55020E+02    0.13037E+02    0.10234E+00    0.96416E-08
   821    0.25291E+04   -0.53201E+02    0.12960E+02    0.10245E+00    0.96235E-08
   822    0.25275E+04   -0.51377E+02    0.12891E+02    0.10256E+00    0.96053E-08
   823    0.25257E+04   -0.49548E+02    0.12826E+02    0.10266E+00    0.95872E-08
   824    0.25235E+04   -0.47714E+02    0.12768E+02    0.10277E+00    0.95692E-08
   825    0.25213E+04   -0.45878E+02    0.12715E+02    0.10287E+00    0.95512E-08
   826    0.25188E+04   -0.44039E+02    0.12668E+02    0.10297E+00    0.95333E-08
   827    0.25161E+04   -0.42200E+02    0.12627E+02    0.10308E+00    0.95154E-08
   828    0.25134E+04   -0.40358E+02    0.12592E+02    0.10318E+00    0.94975E-08
   829    0.25103E+04   -0.38516E+02    0.12563E+02    0.10327E+00    0.94798E-08
   830    0.25071E+04   -0.36677E+02    0.12540E+02    0.10337E+00    0.94620E-08
   831    0.25037E+04   -0.34838E+02    0.12522E+02    0.10347E+00    0.94443E-08
   832    0.25001E+04   -0.33000E+02    0.12511E+02    0.10356E+00    0.94267E-08
   833    0.24964E+04   -0.31166E+02    0.12505E+02    0.10365E+00    0.94091E-08
   834    0.24923E+04   -0.29334E+02    0.12505E+02    0.10374E+00    0.93916E-08
   835    0.24882E+04   -0.27506E+02    0.12512E+02    0.10383E+00    0.93741E-08
   836    0.24837E+04   -0.25682E+02    0.12524E+02    0.10392E+00    0.93567E-08
   837    0.24792E+04   -0.23864E+02    0.12542E+02    0.10400E+00    0.93393E-08
   838    0.24745E+04   -0.22050E+02    0.12566E+02    0.10409E+00    0.93219E-08
   839    0.24694E+04   -0.20243E+02    0.12597E+02    0.10417E+00    0.93047E-08
   840    0.24643E+04   -0.18443E+02    0.12634E+02    0.10425E+00    0.92874E-08
   841    0.24590E+04   -0.16652E+02    0.12676E+02    0.10433E+00    0.92702E-08
   842    0.24535E+04   -0.14867E+02    0.12723E+02    0.10441E+00    0.92531E-08
   843    0.24479E+04   -0.13094E+02    0.12777E+02    0.10449E+00    0.92360E-08
   844    0.24419E+04   -0.11329E+02    0.12837E+02    0.10456E+00    0.92189E-08
   845    0.24359E+04   -0.95747E+01    0.12902E+02    0.10463E+00    0.92019E-08
   846    0.24297E+04   -0.78324E+01    0.12975E+02    0.10470E+00    0.91849E-08
   847    0.24235E+04   -0.61013E+01    0.13051E+02    0.10477E+00    0.91680E-08
   848    0.24170E+04   -0.43833E+01    0.13134E+02    0.10484E+00    0.91512E-08
   849    0.24102E+04   -0.26778E+01    0.13223E+02    0.10491E+00    0.91344E-08
   850    0.24034E+04   -0.98576E+00    0.13318E+02    0.10497E+00    0.91176E-08
   851    0.23963E+04    0.69217E+00    0.13418E+02    0.10503E+00    0.91008E-08
   852    0.23891E+04    0.23557E+01    0.13525E+02    0.10509E+00    0.90842E-08
   853    0.23818E+04    0.40040E+01    0.13637E+02    0.10515E+00    0.90675E-08
   854    0.23742E+04    0.56359E+01    0.13755E+02    0.10521E+00    0.90509E-08
   855    0.23665E+04    0.72523E+01    0.13878E+02    0.10526E+00    0.90344E-08
   856    0.23587E+04    0.88514E+01    0.14006E+02    0.10532E+00    0.90179E-08
   857    0.23506E+04    0.10432E+02    0.14139E+02    0.10537E+00    0.90014E-08
   858    0.23425E+04    0.11996E+02    0.14280E+02    0.10542E+00    0.89850E-08
   859    0.23341E+04    0.13542E+02    0.14424E+02    0.10547E+00    0.89686E-08
   860    0.23257E+04    0.15067E+02    0.14573E+02    0.10551E+00    0.89523E-08
   861    0.23171E+04    0.16573E+02    0.14728E+02    0.10556E+00    0.89360E-08
   862    0.23084E+04    0.18060E+02    0.14888E+02    0.10560E+00    0.89198E-08
   863    0.22995E+04    0.19525E+02    0.15054E+02    0.10564E+00    0.89036E-08
   864    0.22905E+04    0.20969E+02    0.15224E+02    0.10568E+00    0.88875E-08
   865    0.22812E+04    0.22391E+02    0.15399E+02    0.10572E+00    0.88713E-08
   866    0.22721E+04    0.23790E+02    0.15579E+02    0.10575E+00    0.88553E-08
   867    0.22627E+04    0.25167E+02    0.15764E+02    0.10579E+00    0.88393E-08
   868    0.22532E+04    0.26521E+02    0.15954E+02    0.10582E+00    0.88233E-08
   869    0.22435E+04    0.27851E+02    0.16148E+02    0.10585E+00    0.88073E-08
   870    0.22337E+04    0.29158E+02    0.16346E+02    0.10588E+00    0.87915E-08
   871    0.22239E+04    0.30439E+02    0.16550E+02    0.10590E+00    0.87756E-08
   872    0.22139E+04    0.31697E+02    0.16758E+02    0.10593E+00    0.87598E-08
   873    0.22038E+04    0.32929E+02    0.16970E+02    0.10595E+00    0.87440E-08
   874    0.21936E+04    0.34135E+02    0.17187E+02    0.10597E+00    0.87283E-08
   875    0.21832E+04    0.35316E+02    0.17406E+02    0.10599E+00    0.87126E-08
   876    0.21727E+04    0.36470E+02    0.17632E+02    0.10601E+00    0.86970E-08
   877    0.21623E+04    0.37598E+02    0.17860E+02    0.10603E+00    0.86814E-08
   878    0.21517E+04    0.38698E+02    0.18092E+02    0.10604E+00    0.86658E-08
   879    0.21410E+04    0.39772E+02    0.18328E+02    0.10605E+00    0.86503E-08
   880    0.21302E+04    0.40818E+02    0.18568E+02    0.10606E+00    0.86348E-08
   881    0.21193E+04    0.41835E+02    0.18811E+02    0.10607E+00    0.86194E-08
   882    0.21084E+04    0.42824E+02    0.19058E+02    0.10608E+00    0.86040E-08
   883    0.20974E+04    0.43784E+02    0.19309E+02    0.10609E+00    0.85887E-08
   884    0.20863E+04    0.44716E+02    0.19561E+02    0.10609E+00    0.85734E-08
   885    0.20750E+04    0.45618E+02    0.19818E+02    0.10609E+00    0.85581E-08
   886    0.20638E+04    0.46490E+02    0.20078E+02    0.10609E+00    0.85428E-08
   887    0.20525E+04    0.47332E+02    0.20341E+02    0.10609E+00    0.85277E-08
   888    0.20412E+04    0.48145E+02    0.20607E+02    0.10609E+00    0.85125E-08
   889    0.20296E+04    0.48927E+02    0.20874E+02    0.10609E+00    0.84974E-08
   890    0.20181E+04    0.49678E+02    0.21146E+02    0.10608E+00    0.84823E-08
   891    0.20066E+04    0.50399E+02    0.21419E+02    0.10607E+00    0.84673E-08
   892    0.19950E+04    0.51090E+02    0.21695E+02    0.10607E+00    0.84523E-08
   893    0.19833E+04    0.51749E+02    0.21974E+02    0.10606E+00    0.84373E-08
   894    0.19717E+04    0.52377E+02    0.22254E+02    0.10604E+00    0.84224E-08
   895    0.19599E+04    0.52975E+02    0.22536E+02    0.10603E+00    0.84075E-08
   896    0.19481E+04    0.53542E+02    0.22821E+02    0.10602E+00    0.83927E-08
   897    0.19363E+04    0.54077E+02    0.23108E+02    0.10600E+00    0.83779E-08
   898    0.19245E+04    0.54581E+02    0.23396E+02    0.10598E+00    0.83631E-08
   899    0.19127E+04    0.55052E+02    0.23686E+02    0.10596E+00    0.83484E-08
   900    0.19008E+04    0.55493E+02    0.23977E+02    0.10594E+00    0.83337E-08
   901    0.18890E+04    0.55902E+02    0.24269E+02    0.10592E+00    0.83191E-08
   902    0.18771E+04    0.56279E+02    0.24563E+02    0.10590E+00    0.83045E-08
   903    0.18650E+04    0.56624E+02    0.24858E+02    0.10588E+00    0.82899E-08
   904    0.18532E+04    0.56937E+02    0.25154E+02    0.10585E+00    0.82753E-08
   905    0.18413E+04    0.57218E+02    0.25451E+02    0.10583E+00    0.82608E-08
   906    0.18293E+04    0.57467E+02    0.25749E+02    0.10580E+00    0.82464E-08
   907    0.18174E+04    0.57683E+02    0.26047E+02    0.10577E+00    0.82320E-08
   908    0.18056E+04    0.57869E+02    0.26346E+02    0.10574E+00    0.82176E-08
   909    0.17937E+04    0.58021E+02    0.26645E+02    0.10571E+00    0.82032E-08
   910    0.17817E+04    0.58143E+02    0.26945E+02    0.10568E+00    0.81889E-08
   911    0.17699E+04    0.58233E+02    0.27244E+02    0.10564E+00    0.81746E-08
   912    0.17580E+04    0.58291E+02    0.27545E+02    0.10561E+00    0.81604E-08
   913    0.17459E+04    0.58317E+02    0.27844E+02    0.10558E+00    0.81462E-08
   914    0.17341E+04    0.58313E+02    0.28143E+02    0.10554E+00    0.81320E-08
   915    0.17222E+04    0.58277E+02    0.28442E+02    0.10550E+00    0.81179E-08
   916    0.17105E+04    0.58209E+02    0.28741E+02    0.10546E+00    0.81038E-08
   917    0.16987E+04    0.58112E+02    0.29040E+02    0.10543E+00    0.80897E-08
   918    0.16870E+04    0.57983E+02    0.29337E+02    0.10539E+00    0.80757E-08
   919    0.16754E+04    0.57824E+02    0.29634E+02    0.10534E+00    0.80617E-08
   920    0.16637E+04    0.57633E+02    0.29930E+02    0.10530E+00    0.80477E-08
   921    0.16522E+04    0.57412E+02    0.30225E+02    0.10526E+00    0.80338E-08
   922    0.16406E+04    0.57161E+02    0.30518E+02    0.10522E+00    0.80199E-08
   923    0.16291E+04    0.56881E+02    0.30810E+02    0.10517E+00    0.80061E-08
   924    0.16176E+04    0.56570E+02    0.31101E+02    0.10513E+00    0.79922E-08
   925    0.16063E+04    0.56229E+02    0.31390E+02    0.10508E+00    0.79785E-08
   926    0.15949E+04    0.55860E+02    0.31678E+02    0.10504E+00    0.79647E-08
   927    0.15837E+04    0.55462E+02    0.31964E+02    0.10499E+00    0.79510E-08
