CID,IDSURVEY,zCMB,zHD,zHEL,MU,MUERR_FINAL
1294340,10,0.36087,0.36087,0.36186,41.1865,0.1595
1294341,10,0.36798,0.36798,0.36897,41.4873,0.1519
1294351,10,0.33828,0.33828,0.33926,41.2872,0.1391
1294667,10,0.62818,0.62818,0.62950,42.8742,0.2031
1294743,10,0.31257,0.31257,0.31363,41.0447,0.2078
1294806,10,0.52535,0.52535,0.52588,42.3759,0.1649
1294948,10,0.30246,0.30246,0.30291,40.3838,2.9257
1294971,10,0.58822,0.58822,0.58877,42.9911,0.1827
1295024,10,0.33386,0.33386,0.33494,41.4857,0.1684
1295027,10,0.42561,0.42561,0.42676,41.7480,0.1458
1295079,10,0.54436,0.54436,0.54562,42.7236,0.1985
1295249,10,0.53250,0.53251,0.53309,42.6333,0.1731
1295285,10,0.52513,0.52513,0.52634,42.3179,0.1227
1295291,10,0.86179,0.86179,0.86329,43.8826,0.2904
1295315,10,0.34886,0.34886,0.34934,41.2070,0.1217
1295436,10,0.29584,0.29584,0.29687,42.4532,209.2092
1295509,10,0.68363,0.68363,0.68428,42.8985,0.1745
1295527,10,0.88491,0.88491,0.88568,43.5374,0.2103
1295550,10,0.87270,0.87270,0.87345,43.7612,0.4450
1295592,10,0.35631,0.35631,0.35684,41.2975,0.1201
1295685,10,0.55929,0.55929,0.56046,42.5561,0.2992
1295794,10,0.67098,0.67098,0.67164,42.9858,0.2535
1295800,10,0.74855,0.74855,0.74924,43.3972,0.2731
1296161,10,0.86243,0.86243,0.86394,43.7957,0.2342
1296173,10,0.65763,0.65763,0.65898,42.6922,0.2735
1296321,10,0.18443,0.18444,0.18531,40.0484,0.1675
1296657,10,0.14624,0.14624,0.14715,39.3371,0.1136
1296671,10,0.64852,0.64852,0.64986,42.9702,0.1425
1296793,10,0.64392,0.64392,0.64526,42.9341,0.1513
1296802,10,0.74392,0.74392,0.74534,43.1073,0.1876
1296919,10,0.67698,0.67698,0.67832,43.0717,0.2039
1296963,10,0.48813,0.48813,0.48917,42.1856,0.1525
1297026,10,0.25854,0.25854,0.25956,40.5872,0.1179
1297061,10,0.53387,0.53387,0.53445,42.7026,0.2436
1297063,10,0.43516,0.43516,0.43570,41.9523,0.1761
1297064,10,0.65045,0.65045,0.65109,43.0382,0.1843
1297070,10,0.73069,0.73069,0.73135,43.0400,0.1742
1297157,10,0.54888,0.54888,0.54947,42.5247,0.1638
1297318,10,0.33479,0.33479,0.33529,41.3386,0.2094
1297353,10,0.54402,0.54402,0.54459,42.1596,0.1495
1297365,10,0.34316,0.34316,0.34365,42.7317,234.9624
1297377,10,0.60981,0.60981,0.61044,42.5374,0.2011
1297465,10,0.27784,0.27784,0.27836,41.0082,0.1379
1297490,10,0.73677,0.73677,0.73743,43.2130,0.2113
1297501,10,0.21492,0.21492,0.21541,39.7845,0.1918
1297532,10,0.86461,0.86461,0.86532,43.4828,0.2368
1297580,10,0.63561,0.63561,0.63626,43.0660,0.1808
1297742,10,0.46256,0.46256,0.46364,41.8654,0.1254
1297927,10,0.28513,0.28513,0.28605,40.8949,0.1148
1298079,10,0.26048,0.26048,0.26136,40.7395,0.1477
1298246,10,0.60946,0.60946,0.61058,42.5718,0.1527
1298266,10,0.48930,0.48930,0.49038,42.2370,0.2617
1298369,10,0.47792,0.47792,0.47917,42.3010,0.1789
1298763,10,0.60960,0.60960,0.61093,43.0466,0.2094
1298893,10,0.19616,0.19616,0.19712,39.9524,0.1222
1299033,10,0.69226,0.69226,0.69363,43.1393,0.1433
1299090,10,0.68339,0.68339,0.68474,43.1012,0.1340
1299190,10,0.69836,0.69836,0.69974,43.1146,0.1922
1299258,10,0.80109,0.80109,0.80255,43.3671,0.1623
1299266,10,0.91289,0.91289,0.91440,43.9048,0.1819
1299327,10,0.98158,0.98158,0.98316,43.8412,0.1293
1299439,10,0.59158,0.59158,0.59271,42.8575,0.1576
1299503,10,0.29498,0.29498,0.29602,43.9515,252.5868
1299643,10,0.37677,0.37678,0.37727,41.4770,0.1275
1299712,10,0.73065,0.73064,0.73129,43.2175,0.1436
1299746,10,0.36571,0.36571,0.36621,41.3446,0.1981
1299758,10,0.47241,0.47241,0.47293,42.1088,0.1804
1299775,10,0.16008,0.16008,0.16051,39.1271,0.1753
1299785,10,0.38131,0.38131,0.38182,41.5043,0.1810
1300025,10,0.41357,0.41357,0.41459,41.6791,0.1763
1300084,10,0.61843,0.61843,0.61958,43.0581,0.2378
1300160,10,0.40925,0.40925,0.41029,41.5640,0.1775
1300179,10,0.31722,0.31722,0.31818,41.1348,0.1445
1300390,10,0.26765,0.26765,0.26860,40.6639,0.1151
1300441,10,0.48485,0.48485,0.48590,42.1017,0.1578
1300470,10,0.51413,0.51413,0.51520,42.5672,0.2380
1300516,10,0.31042,0.31042,0.31151,40.6915,0.2175
1300517,10,0.40031,0.40031,0.40132,41.5190,0.1757
1300531,10,0.58454,0.58454,0.58567,42.8500,0.1807
1300590,10,0.65633,0.65633,0.65770,42.7723,0.1184
1300703,10,0.29571,0.29571,0.29674,41.0331,0.1632
1300777,10,0.81684,0.81684,0.81830,43.3324,0.1575
1300912,10,0.33779,0.33780,0.33834,41.1940,0.1958
1301142,10,0.71139,0.71139,0.71266,43.1318,0.1418
1301332,10,0.46754,0.46754,0.46861,42.1704,0.1641
1301397,10,0.60955,0.60955,0.61076,43.0554,0.1758
1301915,10,0.62043,0.62043,0.62104,43.1038,0.2219
1301933,10,0.32959,0.32959,0.33065,41.2585,0.0971
1301936,10,0.34304,0.34304,0.34351,41.6089,0.2128
1301963,10,0.41527,0.41527,0.41577,41.7516,0.1262
1302027,10,0.74899,0.74899,0.74959,43.2671,0.1547
1302055,10,0.54327,0.54327,0.54383,42.8166,0.2138
1302073,10,0.58845,0.58845,0.58900,42.6482,0.2054
1302110,10,0.45351,0.45351,0.45459,42.2788,0.2687
1302117,10,0.49238,0.49238,0.49349,42.3081,0.2052
1302123,10,0.29156,0.29156,0.29207,40.8596,0.1046
1302185,10,0.73717,0.73717,0.73783,43.4571,0.2459
1302187,10,0.21942,0.21942,0.21992,39.9419,0.1823
1302188,10,0.34895,0.34895,0.34950,41.3170,0.1500
1302199,10,0.87001,0.87001,0.87076,43.3385,0.1882
1302346,10,0.53042,0.53042,0.53152,42.6084,0.1787
1302353,10,0.57193,0.57193,0.57305,42.5533,0.1312
1302359,10,0.25308,0.25308,0.25358,40.4772,0.1673
1302399,10,0.76495,0.76495,0.76565,43.3531,314.7000
1302418,10,0.47780,0.47780,0.47885,42.2258,0.1456
1302523,10,0.42391,0.42391,0.42505,41.8514,0.1104
1302550,10,0.75249,0.75249,0.75391,43.1155,0.1679
1302564,10,0.52716,0.52716,0.52840,42.1239,0.1622
1302572,10,0.58740,0.58740,0.58858,42.6501,0.1338
1302635,10,0.20268,0.20268,0.20355,40.7695,53.1158
1302648,10,0.23171,0.23171,0.23259,40.1519,0.1735
1302675,10,1.02836,1.02836,1.03001,44.2698,1.0593
1302705,10,0.79229,0.79229,0.79358,43.3874,0.1326
1302719,10,0.64527,0.64527,0.64645,43.1830,0.1556
1302738,10,0.67783,0.67783,0.67900,42.9998,0.1642
1302901,10,0.62618,0.62618,0.62737,43.1653,0.1831
1302915,10,0.35921,0.35921,0.36022,41.3793,0.1332
1303118,10,0.58838,0.58838,0.58967,42.8256,0.2522
1303140,10,0.49592,0.49592,0.49718,42.4705,0.1430
1303197,10,0.52562,0.52562,0.52682,42.2135,0.1282
1303215,10,0.32869,0.32869,0.32917,41.6049,0.2179
1303257,10,0.77159,0.77159,0.77301,43.6303,0.2651
1303314,10,0.60491,0.60491,0.60620,42.9177,0.2655
1303317,10,0.47429,0.47429,0.47545,42.0807,0.2013
1303466,10,0.65274,0.65274,0.65333,43.4184,0.2510
1303496,10,0.17978,0.17978,0.18021,39.6975,0.1488
1303658,10,0.66788,0.66788,0.66912,42.8951,0.1457
1303663,10,0.81825,0.81825,0.81961,43.6748,0.1582
1303699,10,0.79547,0.79547,0.79621,43.2692,0.1773
1303722,10,1.02468,1.02468,1.02547,44.3153,0.2017
1303753,10,0.65241,0.65242,0.65363,42.9442,0.1410
1303881,10,0.77004,0.77004,0.77131,43.3362,0.1438
1303883,10,0.25904,0.25904,0.25993,40.5093,0.1350
1303910,10,0.68455,0.68456,0.68577,43.2822,0.1887
1303952,10,0.56262,0.56262,0.56387,42.5951,0.1521
1304183,10,0.63502,0.63502,0.63618,42.7559,0.1698
1304193,10,0.45354,0.45354,0.45456,42.0796,0.1640
1304362,10,0.76177,0.76177,0.76303,43.5023,0.1703
1304442,10,0.21711,0.21711,0.21760,40.1520,0.1763
1304456,10,0.42989,0.42989,0.43093,41.6887,0.1082
1304501,10,0.51882,0.51882,0.51991,42.5169,0.2498
1304503,10,0.52971,0.52971,0.53030,42.2896,0.1329
1304506,10,0.75421,0.75421,0.75488,43.4228,0.1803
1304652,10,0.58126,0.58126,0.58240,42.6406,0.1548
1304678,10,0.21883,0.21883,0.21927,40.1327,0.1083
1304777,10,0.40476,0.40476,0.40528,41.6306,0.1380
1304779,10,0.55993,0.55993,0.56050,42.4586,0.1291
1304841,10,0.74126,0.74126,0.74249,43.4891,0.1761
1304991,10,0.65866,0.65866,0.65984,42.9716,0.1500
1305051,10,0.29887,0.29887,0.29980,41.0895,0.1462
1305219,10,0.61633,0.61633,0.61748,43.0185,0.1641
1305276,10,0.25286,0.25286,0.25390,40.7330,0.2032
1305308,10,0.68972,0.68972,0.69112,43.2186,0.1415
1305350,10,0.49263,0.49263,0.49382,42.2933,0.2645
1305409,10,0.61935,0.61935,0.62066,42.7499,0.1564
1305486,10,0.89888,0.89888,0.90040,43.6493,0.1497
1305504,10,0.49559,0.49559,0.49679,42.2792,0.1417
1305541,10,0.83293,0.83293,0.83438,43.4845,0.1317
1305626,10,0.32572,0.32572,0.32680,41.1211,0.1036
1305687,10,0.62740,0.62740,0.62859,43.2163,0.1543
1305756,10,0.27589,0.27589,0.27638,40.5548,0.3982
1305785,10,0.47328,0.47327,0.47431,42.2885,0.1558
1305807,10,0.56997,0.56997,0.57110,42.8879,0.2473
1305835,10,0.34196,0.34196,0.34291,41.3198,0.1870
1305873,10,0.60092,0.60092,0.60153,42.7776,0.1760
1305946,10,0.64663,0.64663,0.64800,43.0884,0.1709
1306059,10,0.60631,0.60631,0.60760,42.8400,0.1858
1306067,10,0.72220,0.72220,0.72280,42.9867,0.1146
1306073,10,0.32858,0.32858,0.32964,41.1549,0.1118
1306110,10,0.60864,0.60864,0.60994,42.6001,0.1361
1306141,10,0.33239,0.33239,0.33286,41.0657,0.1259
1306360,10,0.45478,0.45478,0.45534,41.9874,0.1641
1306366,10,0.15063,0.15062,0.15145,39.6260,0.2123
1306378,10,0.36101,0.36101,0.36195,41.5427,0.2078
1306390,10,0.40911,0.40911,0.41009,41.9598,0.2320
1306423,10,0.44638,0.44638,0.44739,41.8234,0.1977
1306578,10,0.42044,0.42044,0.42150,41.5869,0.1313
1306626,10,0.42089,0.42089,0.42140,41.6896,0.1534
1306736,10,0.55145,0.55145,0.55200,42.3528,0.1944
1306980,10,0.54674,0.54674,0.54789,42.4675,0.2350
1306986,10,0.44808,0.44808,0.44916,42.3781,0.3058
1306991,10,0.42199,0.42199,0.42306,41.6359,0.1799
1307261,10,0.70351,0.70351,0.70487,42.8957,0.1621
1307277,10,0.41113,0.41113,0.41216,41.6181,0.2043
1307748,10,0.52527,0.52527,0.52589,42.0480,0.1684
1307783,10,0.74061,0.74061,0.74130,43.5434,0.2404
1307830,10,0.35948,0.35948,0.36000,41.5009,0.1040
1307843,10,0.92146,0.92146,0.92220,44.1131,0.2862
1308314,10,0.40647,0.40647,0.40700,41.8129,0.1502
1308326,10,0.32622,0.32622,0.32717,41.1619,0.1096
1308357,10,0.34157,0.34157,0.34255,41.0708,0.1852
1308453,10,0.75572,0.75572,0.75712,43.4596,0.2266
1308529,10,0.72212,0.72212,0.72352,43.2715,0.2579
1308568,10,0.64304,0.64304,0.64442,42.6368,0.1583
1308582,10,0.36704,0.36704,0.36812,41.2529,0.1005
1308589,10,0.68576,0.68576,0.68643,42.5634,0.4680
1308916,10,0.43769,0.43769,0.43820,42.0038,0.2028
1309013,10,0.21260,0.21260,0.21358,40.0106,0.1872
1309051,10,0.59629,0.59629,0.59756,42.5321,0.1918
1309215,10,0.77464,0.77464,0.77536,43.0895,0.1842
1309227,10,0.92576,0.92576,0.92649,44.1497,0.1940
1309288,10,0.26793,0.26793,0.26838,40.6163,0.1063
1309293,10,0.33472,0.33472,0.33521,41.1876,0.1954
1309323,10,0.48309,0.48309,0.48362,42.1468,0.1920
1309330,10,0.34472,0.34472,0.34521,42.2259,2.2993
1309376,10,0.74009,0.74009,0.74073,43.3385,0.1595
1309492,10,0.33352,0.33352,0.33403,41.0999,0.1066
1309509,10,0.96296,0.96296,0.96373,44.1335,0.2123
1309551,10,0.65135,0.65135,0.65259,43.2364,0.2273
1309694,10,0.45353,0.45353,0.45456,42.0954,0.2062
1309696,10,0.80954,0.80954,0.81086,43.7187,0.1466
1309870,10,1.01382,1.01382,1.01459,44.1621,0.2339
1309874,10,0.27001,0.27001,0.27092,40.6170,0.1240
1309982,10,1.08142,1.08142,1.08220,44.3723,0.2031
1310073,10,0.62703,0.62703,0.62819,42.8729,0.1488
1310182,10,0.49611,0.49611,0.49720,42.0243,0.1442
1310236,10,0.69085,0.69085,0.69211,43.3420,0.1249
1310294,10,0.43967,0.43967,0.44089,41.9479,0.1580
1310303,10,0.69530,0.69530,0.69670,43.2289,0.1432
1310304,10,0.66881,0.66881,0.67020,43.1519,0.1491
1310367,10,0.23332,0.23332,0.23433,40.4426,0.1190
1310396,10,0.32250,0.32250,0.32358,41.2243,0.1047
1310432,10,0.29471,0.29471,0.29574,40.8865,0.1654
1310475,10,0.66375,0.66375,0.66511,42.9057,0.1282
1310485,10,0.43313,0.43313,0.43429,41.9436,0.1767
1310916,10,0.67923,0.67923,0.67983,42.7751,0.1318
1310963,10,0.45919,0.45919,0.45971,42.5967,266.6761
1310964,10,0.75147,0.75147,0.75210,43.4374,0.1635
1311001,10,0.63094,0.63094,0.63159,42.8771,0.1991
1311113,10,0.61533,0.61533,0.61596,42.8108,0.1454
1311151,10,0.67765,0.67765,0.67830,43.0522,0.2266
1311247,10,0.44183,0.44183,0.44288,41.6007,0.1587
1311394,10,0.34291,0.34291,0.34389,41.0008,0.2486
1311496,10,0.69066,0.69066,0.69188,43.4508,0.1650
1311590,10,0.55910,0.55910,0.56040,42.4502,0.1424
1311631,10,0.64039,0.64039,0.64177,43.1622,0.1706
1311632,10,0.42420,0.42420,0.42538,41.7366,0.1603
1311755,10,0.47100,0.47100,0.47220,42.0399,0.1457
1311884,10,0.68136,0.68136,0.68269,42.8973,0.1635
1311903,10,0.71912,0.71912,0.72049,43.2137,0.2249
1311921,10,1.04436,1.04436,1.04600,43.9710,0.1949
1312164,10,0.52327,0.52327,0.52438,42.7273,0.3201
1312171,10,0.50043,0.50043,0.50151,42.5517,0.2510
1312213,10,0.40696,0.40697,0.40797,42.2151,0.2593
1312274,10,0.42450,0.42450,0.42551,41.8518,0.1865
1312818,10,0.72292,0.72292,0.72355,43.3110,0.1436
1312821,10,0.66121,0.66121,0.66183,43.4233,0.1918
1312897,10,0.28578,0.28578,0.28683,40.6267,0.2130
1313026,10,0.53696,0.53696,0.53752,42.5237,0.1590
1313057,10,0.33754,0.33754,0.33809,41.3866,0.2055
1313177,10,0.63498,0.63498,0.63620,42.8803,0.1562
1313230,10,0.21792,0.21792,0.21883,40.0934,0.0994
1313434,10,0.69071,0.69071,0.69194,43.1114,0.1482
1313572,10,0.70130,0.70130,0.70256,43.2110,0.1446
1313594,10,0.28834,0.28834,0.28940,40.8587,0.1038
1313698,10,0.43619,0.43619,0.43738,41.8552,0.1547
1314047,10,0.45696,0.45696,0.45813,42.0277,0.1386
1314067,10,0.43365,0.43365,0.43479,41.7952,0.1109
1314071,10,0.32707,0.32707,0.32813,40.9749,0.1605
1314162,10,0.58141,0.58141,0.58267,42.6504,0.1624
1314296,10,0.70426,0.70426,0.70561,43.1806,0.1629
1314317,10,0.78665,0.78665,0.78807,43.2296,0.2460
1314554,10,0.35159,0.35159,0.35253,41.2990,0.1998
1314581,10,0.57450,0.57450,0.57562,42.7842,0.2582
1314709,10,0.65988,0.65988,0.66048,43.0160,0.1706
1314847,10,0.52053,0.52053,0.52173,42.2489,0.1538
1314897,10,0.33662,0.33662,0.33769,41.1376,0.1475
1315191,10,0.58357,0.58357,0.58471,42.6884,0.1399
1315192,10,0.22714,0.22714,0.22800,40.1279,0.1572
1315197,10,0.20823,0.20823,0.20910,39.9876,0.1093
1315259,10,0.22806,0.22806,0.22896,40.2361,0.1516
1315296,10,0.41257,0.41257,0.41363,41.7579,0.2289
1315570,10,0.61273,0.61273,0.61334,42.7928,0.1322
1315795,10,0.37813,0.37813,0.37862,41.3132,0.2044
1315806,10,0.69525,0.69525,0.69590,43.2616,0.1945
1315818,10,0.55218,0.55218,0.55274,42.6747,0.1680
1315832,10,0.62910,0.62910,0.62968,42.8509,0.2130
1315890,10,0.56699,0.56699,0.56815,42.9348,0.2356
1315910,10,0.39365,0.39365,0.39468,42.2243,0.2603
1315947,10,0.73781,0.73781,0.73849,43.0930,0.1615
1315950,10,0.35948,0.35948,0.36000,41.4037,0.1079
1315974,10,0.81174,0.81174,0.81246,43.5930,0.2057
1316385,10,0.14740,0.14740,0.14784,38.9913,0.1298
1316461,10,0.60984,0.60984,0.61047,42.5801,0.1886
1316465,10,0.32909,0.32909,0.32961,41.1055,0.1343
1316487,10,0.77627,0.77627,0.77696,43.8406,0.2978
1316626,10,0.61601,0.61601,0.61667,42.7921,0.1964
1316701,10,0.36115,0.36115,0.36213,41.4981,0.1916
1316831,10,0.43848,0.43848,0.43966,41.9524,0.1438
1316853,10,0.69304,0.69304,0.69445,43.0176,0.1119
1316989,10,0.55343,0.55343,0.55474,42.1825,0.2062
1317164,10,0.15459,0.15459,0.15555,39.2046,0.1724
1317277,10,0.23710,0.23710,0.23810,40.3245,0.1295
1317372,10,0.74393,0.74393,0.74535,43.2483,0.1861
1317496,10,0.64429,0.64429,0.64554,43.2108,0.1927
1317526,10,0.43160,0.43160,0.43276,41.9756,0.1298
1317612,10,0.10442,0.10442,0.10525,38.3453,0.1520
1317666,10,0.14136,0.14136,0.14227,39.3514,0.1700
1317724,10,0.46775,0.46775,0.46890,42.2688,0.1325
1317783,10,0.39436,0.39436,0.39534,41.5776,0.1704
1317956,10,0.86917,0.86917,0.87068,43.7584,0.3169
1318052,10,0.48068,0.48068,0.48127,42.1979,0.2302
1318126,10,0.37298,0.37298,0.37397,41.4563,0.1197
1318158,10,0.78604,0.78604,0.78733,43.6208,0.1455
1318235,10,0.36002,0.36002,0.36101,41.5577,0.1478
1318266,10,0.40626,0.40626,0.40726,41.7285,0.1838
1318304,10,0.39764,0.39764,0.39869,41.4236,0.2000
1318460,10,0.36604,0.36604,0.36704,41.1941,0.1743
1318659,10,0.42354,0.42354,0.42403,42.2622,4.8049
1318661,10,0.34451,0.34451,0.34498,41.5103,0.2028
1318689,10,0.49338,0.49338,0.49392,42.2967,0.1702
1318847,10,0.65992,0.65992,0.66107,43.0052,0.1523
1319058,10,0.66811,0.66811,0.66951,42.9469,0.1435
1319066,10,0.33402,0.33403,0.33449,41.3291,0.2064
1319366,10,0.23482,0.23482,0.23572,40.2567,0.1233
1319539,10,0.37176,0.37176,0.37277,41.3906,0.1439
1319653,10,0.59552,0.59552,0.59613,42.6676,0.1488
1319667,10,0.67756,0.67756,0.67818,42.9838,0.1320
1319711,10,0.24171,0.24171,0.24270,40.4140,0.1193
1319776,10,0.65980,0.65980,0.66040,43.1904,0.1842
1319821,10,0.30880,0.30880,0.30929,41.1081,0.1150
1319840,10,0.48970,0.48970,0.49025,42.1942,0.1394
1319870,10,0.26767,0.26767,0.26812,42.3624,205.2519
1319898,10,0.72860,0.72860,0.72925,43.1441,0.1800
1319926,10,0.56341,0.56341,0.56400,42.4901,0.2099
1320009,10,0.69164,0.69164,0.69229,43.1958,0.1839
1320030,10,0.68141,0.68141,0.68207,43.0093,0.1881
1320126,10,0.52685,0.52685,0.52795,42.4046,0.2000
1320278,10,0.57508,0.57508,0.57622,42.4679,0.1853
1320367,10,0.40109,0.40109,0.40212,42.4168,232.0644
1320447,10,0.57892,0.57892,0.58009,42.6379,0.1563
1320474,10,0.78842,0.78842,0.78908,43.3969,0.1409
1320501,10,0.33683,0.33683,0.33781,41.2372,0.1198
1320704,10,0.26996,0.26996,0.27087,40.4637,0.1477
1320762,10,0.51339,0.51339,0.51445,42.2413,0.1934
1320843,10,0.60874,0.60874,0.60989,42.9052,0.1988
1321006,10,0.30244,0.30244,0.30348,41.1001,0.1213
1321116,10,0.62684,0.62684,0.62816,42.7691,0.1818
1321166,10,0.43510,0.43510,0.43623,42.1230,0.1352
1321261,10,0.58936,0.58936,0.59069,42.3708,0.1443
1321276,10,0.33121,0.33121,0.33227,41.3461,0.1310
1321338,10,0.31048,0.31048,0.31153,41.1068,0.1512
1321365,10,0.31270,0.31270,0.31375,42.2679,200.5970
1321450,10,0.25833,0.25833,0.25928,40.4489,0.1742
1321492,10,0.55467,0.55467,0.55583,42.3287,0.1852
1321522,10,0.17715,0.17715,0.17800,40.6402,149.8745
1321973,10,0.37043,0.37043,0.37157,41.3107,0.1482
1322229,10,0.52612,0.52612,0.52736,42.2783,0.2373
1322819,10,0.33759,0.33759,0.33807,41.3984,0.1257
1322912,10,0.65831,0.65831,0.65953,43.1407,0.2681
1322954,10,0.54327,0.54327,0.54385,42.4390,0.2207
1322975,10,0.84634,0.84634,0.84705,43.8956,0.2579
1323016,10,0.33485,0.33485,0.33582,41.4124,0.1960
1323106,10,0.34417,0.34417,0.34529,41.3303,0.1168
1323349,10,0.50491,0.50491,0.50610,42.3999,0.1839
1323600,10,0.37044,0.37044,0.37145,41.5622,0.1488
1323740,10,0.77137,0.77137,0.77207,43.2730,0.1766
1323777,10,0.53290,0.53290,0.53348,42.8342,241.0519
1323831,10,0.31079,0.31079,0.31131,41.7232,193.6743
1324062,10,0.70325,0.70325,0.70390,43.6139,226.7003
1324509,10,0.21062,0.21062,0.21105,39.9768,0.1539
1324536,10,0.58899,0.58899,0.58955,42.9954,0.2261
1324542,10,0.54154,0.54154,0.54210,42.5301,0.1940
1324544,10,0.52973,0.52973,0.53027,42.2837,0.2456
1324562,10,0.35299,0.35299,0.35349,41.3882,0.1363
1324582,10,0.38185,0.38185,0.38237,41.6090,0.1525
1324685,10,0.54183,0.54183,0.54244,42.4455,0.1472
1324790,10,0.35723,0.35723,0.35775,41.2933,0.1829
1325191,10,0.79810,0.79810,0.79883,43.5735,0.2585
1326273,10,0.56950,0.56949,0.57013,43.6177,238.5706
1326299,10,0.67382,0.67382,0.67448,43.2679,0.1797
1326367,10,0.55797,0.55797,0.55856,42.6888,0.1816
1327978,10,0.20699,0.20699,0.20786,40.0126,0.1572
1328016,10,0.35071,0.35071,0.35167,41.2702,0.1655
1328089,10,0.56864,0.56864,0.56980,42.4081,0.1828
1328103,10,0.57472,0.57472,0.57589,42.7067,0.2066
1328105,10,0.44153,0.44153,0.44259,41.7906,0.1280
1329168,10,0.67651,0.67651,0.67717,42.8358,0.1660
1329312,10,0.34478,0.34478,0.34586,41.2478,0.1043
1329365,10,0.61101,0.61101,0.61230,42.9089,0.1598
1329615,10,0.40360,0.40360,0.40474,41.7302,0.1618
1329622,10,0.48607,0.48607,0.48727,42.1157,0.2411
1329795,10,0.52558,0.52558,0.52669,42.4418,0.1518
1330031,10,0.10563,0.10563,0.10643,38.5616,0.0899
1330339,10,0.57914,0.57914,0.57968,42.6875,0.2197
1330350,10,0.76302,0.76303,0.76374,43.3391,0.1893
1330403,10,0.77650,0.77650,0.77713,43.2924,0.1195
1330530,10,0.33633,0.33633,0.33682,41.1245,0.2335
1330533,10,0.36444,0.36444,0.36495,41.5680,0.1328
1330559,10,0.68131,0.68131,0.68194,43.2630,0.2002
1330642,10,0.63391,0.63391,0.63521,42.6684,0.1477
1330817,10,0.27051,0.27051,0.27144,40.9139,0.1117
1330828,10,0.36705,0.36705,0.36807,41.5061,0.1213
1330903,10,0.56429,0.56429,0.56544,42.6850,0.1452
1330964,10,0.45085,0.45085,0.45140,42.0406,0.1775
1330995,10,0.71827,0.71827,0.71965,43.2738,0.1279
1331123,10,0.22156,0.22157,0.22248,40.3027,0.1143
1331130,10,0.39189,0.39189,0.39292,41.9518,0.2637
1331344,10,0.54993,0.54993,0.55122,42.6496,0.2061
1331513,10,0.40572,0.40572,0.40675,41.7798,0.2143
1331660,10,0.72076,0.72076,0.72139,43.2467,0.1623
1331700,10,0.36025,0.36025,0.36123,42.0530,0.2859
1331707,10,0.65395,0.65395,0.65516,43.1958,0.1424
1331719,10,0.58627,0.58627,0.58740,42.6562,0.2141
1331836,10,0.35667,0.35667,0.35778,41.3565,0.1310
1331883,10,0.61883,0.61882,0.62011,42.9017,0.2306
1331887,10,0.78398,0.78398,0.78539,43.2135,0.1885
1331925,10,0.61496,0.61496,0.61628,42.8169,0.2359
1331976,10,0.55939,0.55939,0.56062,43.4841,186.9078
1331993,10,0.71961,0.71961,0.72100,43.2735,0.2110
1332008,10,0.61156,0.61156,0.61272,43.0032,0.2197
1332392,10,0.51197,0.51197,0.51318,42.5244,0.1969
1332614,10,0.51856,0.51856,0.51917,42.5609,0.1788
1332632,10,0.62320,0.62320,0.62383,42.6145,0.1543
1332689,10,0.48766,0.48766,0.48824,42.3708,0.2046
1332701,10,0.79167,0.79167,0.79232,43.3341,0.1219
1332709,10,0.69371,0.69371,0.69431,43.2600,0.1637
1332721,10,0.42224,0.42224,0.42274,42.1369,0.2072
1332747,10,0.34305,0.34305,0.34357,41.3691,0.2512
1332795,10,0.67984,0.67984,0.68047,43.1699,0.1814
1332819,10,0.34180,0.34180,0.34234,41.1574,0.1493
1333246,10,0.43774,0.43774,0.43879,41.9706,0.2114
1333248,10,0.69396,0.69395,0.69519,42.8784,0.1459
1333291,10,0.36460,0.36460,0.36570,41.2170,0.1647
1333442,10,0.69209,0.69209,0.69344,43.0532,0.2100
1333489,10,0.68179,0.68179,0.68244,43.2265,0.1781
1333576,10,0.58893,0.58893,0.59011,42.5725,0.2897
1333949,10,0.65927,0.65927,0.66047,42.8884,0.1391
1334084,10,0.13349,0.13349,0.13431,39.0086,0.1736
1334087,10,0.26629,0.26628,0.26722,40.5791,0.1094
1334253,10,0.62076,0.62076,0.62135,42.9472,0.2024
1334257,10,0.68005,0.68005,0.68067,42.7998,0.1314
1334265,10,0.58586,0.58586,0.58646,42.7204,0.2177
1334302,10,0.45463,0.45463,0.45570,41.8887,0.1604
1334321,10,0.80326,0.80326,0.80454,43.2824,0.1320
1334423,10,0.35791,0.35791,0.35888,41.4181,0.1638
1334448,10,0.51686,0.51686,0.51812,42.2231,0.2068
1334581,10,0.82736,0.82736,0.82885,43.3761,0.2158
1334597,10,0.28895,0.28895,0.29000,40.7372,0.1142
1334614,10,0.43941,0.43941,0.44056,42.7893,293.0621
1334620,10,0.19624,0.19624,0.19720,39.9442,0.1794
1334644,10,0.28805,0.28805,0.28910,40.7860,0.1195
1334645,10,0.24701,0.24701,0.24800,40.2772,0.1033
1334647,10,0.74333,0.74333,0.74472,43.4320,0.1337
1334654,10,0.30259,0.30259,0.30365,41.9873,8.3962
1334686,10,0.65904,0.65904,0.66040,42.9342,0.1520
1334707,10,0.64922,0.64922,0.64989,42.8551,0.1435
1334742,10,0.52809,0.52809,0.52919,42.5313,0.3196
1334858,10,0.62737,0.62737,0.62800,43.0162,0.2715
1335259,10,0.72701,0.72701,0.72764,43.4734,0.2035
